Sample_type,Sample ID,Date Archived,Date Extracted,Date Collected,N1 Replicate 1,N1 Replicate 2,N1_mean,VL_cpml,RNaseP,Extraction Batch,ex_replicate,days_4C (x),day_archive,Half-Life (days)
swab,3539,20210227,20210211,20210208,21.19766806,21.13212228,21.16489517,44940169.73,26.79398038,20210211_1_ES,1,3,19,7.353757185
swab,3539,20210227,20210227,20210208,23.36528905,23.59582091,23.48055498,9946404.665,28.15990439,20210227_1_AW,2,19,19,7.353757185
swab,3585,20210227,20210216,20210210,33.28331277,33.75717402,33.52024339,14388.27522,24.22830075,20210216_1_AW,1,6,17,28.55768942
swab,3585,20210227,20210316,20210210,34.40828976,34.71922862,34.56375919,7292.180519,25.13055302,20210316_1_AR,2,34,17,28.55768942
swab,3627,20210227,20210216,20210210,29.59064088,29.98866163,29.78965125,163373.3736,25.73737165,20210216_1_AW,1,6,17,45.29125104
swab,3627,20210227,20210316,20210210,30.34671516,30.54853245,30.4476238,106433.4718,26.06284377,20210316_1_AR,2,34,17,45.29125104
swab,3661,20210228,20210216,20210212,26.31428354,26.4248251,26.36955432,1515417.744,28.74754232,20210216_1_AW,1,4,16,5.672569844
swab,3661,20210228,20210312,20210212,30.80245287,30.94252108,30.87248697,80706.51221,28.54119901,20210312-MKP,2,28,16,5.672569844
swab,3711,20210228,20210216,20210213,31.93901945,31.88330005,31.91115975,41032.41415,30.21620497,20210216_1_AW,1,3,15,8.909226741
swab,3711,20210228,20210312,20210213,34.81794722,34.73847261,34.77820991,6341.638558,30.40139195,20210312-MKP,2,27,15,8.909226741
swab,3759,20210228,20210216,20210214,25.94871696,25.90784726,25.92828211,2019962.012,26.30753566,20210216_1_AW,1,2,14,30.3087292
swab,3759,20210228,20210312,20210214,26.72646766,26.81563077,26.77104922,1166735.13,26.3245836,20210312-MKP,2,26,14,30.3087292
swab,3775,20210228,20210216,20210215,34.44984143,34.02075346,34.23529745,9031.514301,26.13897407,20210216_1_AW,1,1,13,24.7139994
swab,3775,20210228,20210312,20210215,35.00879369,35.52890492,35.26884931,4607.098319,25.2091967,20210312-MKP,2,25,13,24.7139994
swab,4049,20210309,20210306,20210302,29.75959608,29.64292398,29.70126003,173054.1951,34.40828123,20210306_2_AW,1,4,7,10.84802227
swab,4049,20210309,20210419,20210302,34.1667816,33.8694228,34.0181022,10403.81853,36.18977648,20210421_1_AMC,2,48,7,10.84802227
swab,4075,20210310,20210306,20210303,20.72724789,20.65262784,20.68993787,61231252.35,27.59162678,20210306_2_AW,1,3,7,23.15374144
swab,4075,20210310,20210419,20210303,22.8088746,22.6160666,22.7124706,16402632.44,25.15584544,20210421_1_AMC,2,47,7,23.15374144
swab,4217,20210328,20210312,20210310,30.569426,30.578317,30.5738715,98032.46644,29.71661313,20210312-MKP,1,2,18,3.091749109
swab,4217,20210328,20210317,20210310,32.28238168,32.30774931,32.2950655,31955.23,29.66702399,20210317_1_AW,2,7,18,3.091749109
swab,4219,20210328,20210312,20210311,30.659643,30.541824,30.6007335,96332.35909,30.20222316,20210312-MKP,1,1,17,DNO
swab,4219,20210328,20210317,20210311,30.83004095,30.91866643,30.87435369,80608.45393,29.02917528,20210317_1_AW,2,6,17,DNO
swab,4257,20210328,20210317,20210312,31.39655524,31.46969715,31.4331262,56019.03196,28.69172027,20210317_1_AW,1,5,16,9.963864491
swab,4257,20210328,20210419,20210312,34.8137993,35.1023081,34.9580537,5640.711626,27.4414,20210421_1_AMC,2,38,16,9.963864491
swab,4303,20210404,20210323,20210322,16.03888744,16.07397932,16.05643338,1251780788,35.48094313,20210323_1_AR,1,1,13,7.551810361
swab,4303,20210404,20210429,20210322,21.23392104,21.30799468,21.27095786,41940692.73,35.18178451,20210429_1_ES,2,38,13,7.551810361
swab,1885-N,20210127,20201217,20201215,32.22016551,32.39249529,32.3063304,31721.64833,29.51671004,20201217_1_ES,1,2,43,DNO
swab,1885-N,20210127,20210129,20201215,32.5583143,32.7172429,32.6377786,25562.76832,28.59923426,20210129_1_AW,2,45,43,DNO
swab,1886-N,20210127,20201217,20201216,27.49485561,27.58946651,27.54216106,706103.8005,25.46301097,20201217_1_ES,1,1,42,56.49101982
swab,1886-N,20210127,20210129,20201216,28.41160148,28.29297462,28.35228805,416609.9661,26.09507622,20210129_1_AW,2,44,42,56.49101982
